"","Candy","Flowers","Jewelry","Greeting cards","An evening out","Clothing","Gift cards"
"2010","47%","36%","15%","55%","36%","14%","11%"
"2011","48%","34%","17%","52%","35%","14%","13%"
"2012","51%","36%","19%","52%","36%","15%","13%"
"2013","51%","37%","20%","55%","36%","16%","15%"
"2014","49%","37%","19%","51%","37%","16%","14%"
"2015","53%","38%","21%","51%","35%","16%","15%"
"2016","50%","36%","20%","48%","38%","17%","15%"
"2017","50%","35%","19%","47%","37%","18%","16%"
"2018","55%","36%","19%","46%","35%","17%","15%"
"2019","52%","35%","18%","44%","34%","18%","15%"
"2020","52%","37%","21%","43%","34%","20%","19%"
"2021","54%","36%","18%","44%","24%","20%","21%"
"2022","56%","37%","22%","40%","31%","22%","21%"
